date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
24/03/18,Angola,Zimbabwe,2,2,Friendly,Ndola,Zambia,TRUE
24/03/18,Armenia,Estonia,0,0,Friendly,Yerevan,Armenia,FALSE
24/03/18,Botswana,Lesotho,1,0,Friendly,Gaborone,Botswana,FALSE
24/03/18,Canada,New Zealand,1,0,Friendly,San Pedro del Pinatar,Spain,TRUE
24/03/18,Comoros,Kenya,2,2,Friendly,Marrakech,Morocco,TRUE
24/03/18,Georgia,Lithuania,4,0,Friendly,Tbilisi,Georgia,FALSE
24/03/18,Israel,Romania,1,2,Friendly,Netanya,Israel,FALSE
24/03/18,Ivory Coast,Togo,2,2,Friendly,Beauvais,France,TRUE
24/03/18,Kosovo,Madagascar,1,0,Friendly,Franconville,France,TRUE
24/03/18,Mauritania,Guinea,2,0,Friendly,Nouakchott,Mauritania,FALSE
24/03/18,Northern Ireland,South Korea,2,1,Friendly,Belfast,Northern Ireland,FALSE
24/03/18,Qatar,Syria,2,2,Friendly,Basra,Iraq,TRUE
24/03/18,Sweden,Chile,1,2,Friendly,Solna,Sweden,FALSE
24/03/18,Tahiti,New Caledonia,4,3,Friendly,Pirae,Tahiti,FALSE
24/03/18,Uganda,São Tomé and Príncipe,3,1,Friendly,Kampala,Uganda,FALSE
24/03/18,Zambia,South Africa,0,2,Friendly,Ndola,Zambia,FALSE
24/03/18,Alderney,Guernsey,0,2,Muratti Vase,Alderney,Alderney,FALSE
25/03/18,Barbados,Bermuda,0,0,Friendly,Bridgetown,Barbados,FALSE
25/03/18,Dominican Republic,Saint Kitts and Nevis,2,1,Friendly,Santiago,Dominican Republic,FALSE
25/03/18,Faroe Islands,Liechtenstein,3,0,Friendly,Marbella,Spain,TRUE
25/03/18,Gibraltar,Latvia,1,0,Friendly,Gibraltar,Gibraltar,FALSE
25/03/18,Jamaica,Antigua and Barbuda,1,1,Friendly,Kingston,Jamaica,FALSE
25/03/18,Kuwait,Cameroon,1,3,Friendly,Kuwait City,Kuwait,FALSE
25/03/18,Martinique,Trinidad and Tobago,0,0,Friendly,Fort-de-France,Martinique,FALSE
25/03/18,Nicaragua,Cuba,3,3,Friendly,Managua,Nicaragua,FALSE
25/03/18,Thailand,Slovakia,2,3,Friendly,Bangkok,Thailand,FALSE
25/03/18,Yorkshire,Chagos Islands,6,0,Friendly,Fitzwilliam,England,FALSE
26/03/18,Albania,Norway,0,1,Friendly,Elbasan,Albania,FALSE
26/03/18,Bulgaria,Kazakhstan,2,1,Friendly,Felcsút,Hungary,TRUE
26/03/18,China PR,Czech Republic,1,4,Friendly,Nanning,China PR,FALSE
